utc,elapsed_seconds,pid,paused,resumes,captures,rss_mib,vms_mib,private_mib,pagefile_mib,system_used_mib,system_available_mib,swap_used_mib,gpu_used_mib,gpu_total_mib,gdi_objects,user_objects,handles,threads,error_log_bytes,crash_directories
2026-08-12T14:21:11.817587+00:00,180.344,18612,0,0,8,3089.793,9331.027,9331.027,9331.027,16999.02,15720.188,9531.004,4241,10240,124,83,1632,56,995,60
2026-08-12T14:21:42.469602+00:00,210.984,18612,0,0,8,1635.594,9326.715,9326.715,9326.715,15456.293,17262.914,9566.855,4241,10240,124,83,1636,56,995,60
2026-08-12T14:22:12.021483+00:00,240.547,18612,0,0,9,1623.172,9309.777,9309.777,9309.777,15403.617,17315.59,9566.789,4241,10240,124,83,1632,56,995,60
2026-08-12T14:22:42.735325+00:00,271.25,18612,0,0,9,1626.773,9312.703,9312.703,9312.703,15447.461,17271.746,9566.508,4241,10240,124,82,1614,50,995,60
2026-08-12T14:23:12.152621+00:00,300.656,18612,0,0,9,1627.262,9311.703,9311.703,9311.703,15733.859,16985.348,9565.578,4241,10240,124,82,1616,50,995,60
2026-08-12T14:23:41.620258+00:00,330.141,18612,0,0,9,1630.758,9312.566,9312.566,9312.566,15622.965,17096.242,9565.473,4241,10240,124,82,1616,50,995,60
2026-08-12T14:24:12.453274+00:00,360.969,18612,0,0,10,1624.426,9302.879,9302.879,9302.879,15605.426,17113.781,9565.395,4241,10240,124,82,1618,50,995,60
2026-08-12T14:24:41.832607+00:00,390.344,18612,0,0,10,1626.898,9304.941,9304.941,9304.941,15648.117,17071.09,9565.371,4241,10240,124,82,1614,50,995,60
2026-08-12T14:25:12.550898+00:00,421.063,18612,0,0,10,1712.422,9485.91,9485.91,9485.91,15684.719,17034.488,9563.238,4241,10240,124,82,1614,50,995,60
2026-08-12T14:25:41.905339+00:00,450.422,18612,0,0,10,1707.805,9479.723,9479.723,9479.723,15696.18,17023.027,9562.762,4241,10240,124,82,1614,50,995,60
2026-08-12T14:26:12.729347+00:00,481.25,18612,0,0,11,1708.34,9481.723,9481.723,9481.723,15689.234,17029.973,9561.121,4241,10240,124,82,1614,50,995,60
2026-08-12T14:26:42.071297+00:00,510.578,18612,0,0,11,1720.406,9493.797,9493.797,9493.797,15788.938,16930.27,9561.09,4241,10240,124,82,1614,50,995,60
2026-08-12T14:27:12.686329+00:00,541.219,18612,0,0,11,1713.188,9486.168,9486.168,9486.168,15741.109,16978.098,9560.941,4241,10240,124,82,1616,50,995,60
2026-08-12T14:27:42.057256+00:00,570.578,18612,0,0,11,1709.398,9483.043,9483.043,9483.043,15747.848,16971.359,9560.898,4241,10240,124,82,1614,50,995,60
2026-08-12T14:28:12.855852+00:00,601.375,18612,0,0,12,1714.477,9370.738,9370.738,9370.738,15985.801,16733.406,9560.75,4241,10240,124,82,1618,50,995,60
2026-08-12T14:28:42.240258+00:00,630.766,18612,0,0,12,1702.215,9354.727,9354.727,9354.727,16006.008,16713.199,9506.91,4241,10240,124,82,1614,50,995,60
2026-08-12T14:29:11.677495+00:00,660.203,18612,0,0,12,1703.18,9357.289,9357.289,9357.289,15888.172,16831.035,9506.867,4241,10240,124,82,1614,50,995,60
2026-08-12T14:29:42.344990+00:00,690.875,18612,0,0,12,1747.402,9381.863,9381.863,9381.863,15973.609,16745.598,9506.855,4241,10240,124,82,1614,50,995,60
2026-08-12T14:30:11.889917+00:00,720.422,18612,0,0,13,1747.719,9382.672,9382.672,9382.672,15970.047,16749.16,9506.844,4241,10240,124,82,1614,50,995,60
2026-08-12T14:30:42.556893+00:00,751.078,18612,0,0,13,1733.605,9368.363,9368.363,9368.363,15970.598,16748.609,9506.82,4241,10240,124,82,1614,50,995,60
2026-08-12T14:31:11.924812+00:00,780.453,18612,0,0,13,1730.941,9362.676,9362.676,9362.676,15938.812,16780.395,9506.809,4241,10240,124,82,1614,50,995,60
2026-08-12T14:31:42.545910+00:00,811.063,18612,0,0,13,1711.93,9309.977,9309.977,9309.977,15944.391,16774.816,9506.801,4241,10240,124,82,1614,50,995,60
2026-08-12T14:32:12.134256+00:00,840.656,18612,0,0,14,1712.137,9312.73,9312.73,9312.73,15928.914,16790.293,9506.777,4241,10240,124,82,1614,50,995,60
2026-08-12T14:32:41.497214+00:00,870.016,18612,0,0,14,1713.281,9312.625,9312.625,9312.625,15965.668,16753.539,9506.691,4241,10240,124,81,1604,48,995,60
2026-08-12T14:33:12.152690+00:00,900.672,18612,0,0,14,1733.949,9326.922,9326.922,9326.922,15974.438,16744.77,9506.68,4241,10240,124,81,1604,48,995,60
2026-08-12T14:33:41.561464+00:00,930.078,18612,0,0,14,1734.836,9329.172,9329.172,9329.172,15972.367,16746.84,9506.664,4241,10240,124,81,1606,48,995,60
2026-08-12T14:34:12.414906+00:00,960.922,18612,0,0,15,1743.191,9346.992,9346.992,9346.992,16006.699,16712.508,9504.301,4241,10240,124,81,1604,48,995,60
2026-08-12T14:34:41.785355+00:00,990.313,18612,0,0,15,1749.188,9377.344,9377.344,9377.344,16094.969,16624.238,9480.387,4241,10240,124,81,1604,48,995,60
2026-08-12T14:35:12.443295+00:00,1020.969,18612,0,0,15,1726.953,9351.133,9351.133,9351.133,16048.023,16671.184,9478.406,4241,10240,124,81,1606,48,995,60
2026-08-12T14:35:41.815643+00:00,1050.328,18612,0,0,15,1728.215,9354.258,9354.258,9354.258,16106.855,16612.352,9478.23,4241,10240,124,81,1606,48,995,60
2026-08-12T14:36:12.649722+00:00,1081.172,18612,0,0,16,1740.312,9365.953,9365.953,9365.953,16260.824,16458.383,9478.223,4241,10240,124,81,1606,48,995,60
2026-08-12T14:36:42.011664+00:00,1110.531,18612,0,0,16,1729.617,9355.871,9355.871,9355.871,16109.262,16609.945,9477.598,4241,10240,124,81,1604,48,995,60
2026-08-12T14:37:12.700053+00:00,1141.219,18612,0,0,16,1729.09,9354.621,9354.621,9354.621,16088.684,16630.523,9475.836,4241,10240,124,81,1606,48,995,60
2026-08-12T14:37:42.089372+00:00,1170.594,18612,0,0,16,1730.926,9356.746,9356.746,9356.746,16305.117,16414.09,9475.688,4241,10240,124,81,1515,48,995,60
2026-08-12T14:38:12.877532+00:00,1201.406,18612,0,0,17,1736.91,9335.867,9335.867,9335.867,16228.902,16490.305,9474.789,4241,10240,124,81,1517,48,995,60
2026-08-12T14:38:42.275338+00:00,1230.781,18612,0,0,17,1735.07,9333.68,9333.68,9333.68,16280.941,16438.266,9474.328,4241,10240,124,81,1515,48,995,60
2026-08-12T14:39:11.667151+00:00,1260.188,18612,0,0,17,1735.305,9333.742,9333.742,9333.742,16297.691,16421.516,9474.172,4241,10240,124,81,1515,48,995,60
2026-08-12T14:39:42.280237+00:00,1290.797,18612,0,0,17,1714.523,9308.062,9308.062,9308.062,16293.312,16425.895,9474.168,4241,10240,124,81,1517,48,995,60
2026-08-12T14:40:11.828196+00:00,1320.344,18612,0,0,18,1714.215,9307.562,9307.562,9307.562,16237.59,16481.617,9474.023,4241,10240,124,81,1515,48,995,60
2026-08-12T14:40:42.460248+00:00,1350.984,18612,0,0,18,1715.137,9308.812,9308.812,9308.812,16271.008,16448.199,9474.008,4241,10240,124,81,1519,48,995,60
2026-08-12T14:41:11.864047+00:00,1380.375,18612,0,0,18,1735.285,9332.523,9332.523,9332.523,16303.91,16415.297,9473.984,4241,10240,124,81,1517,48,995,60
2026-08-12T14:41:42.476596+00:00,1411.0,18612,0,0,18,1730.125,9326.336,9326.336,9326.336,16407.039,16312.168,9473.961,4241,10240,124,81,1515,48,995,60
2026-08-12T14:42:12.032988+00:00,1440.547,18612,0,0,19,1730.113,9326.273,9326.273,9326.273,16276.219,16442.988,9473.961,4241,10240,124,81,1517,48,995,60
2026-08-12T14:42:42.680004+00:00,1471.188,18612,0,0,19,1757.449,9355.078,9355.078,9355.078,16356.812,16362.395,9472.613,4241,10240,124,81,1515,48,995,60
2026-08-12T14:43:12.056893+00:00,1500.578,18612,0,0,19,1747.469,9343.828,9343.828,9343.828,16396.25,16322.957,9468.043,4241,10240,124,81,1515,48,995,60
2026-08-12T14:43:42.733834+00:00,1531.25,18612,0,0,19,1736.016,9330.953,9330.953,9330.953,16515.129,16204.078,9468.023,4241,10240,124,81,1519,48,995,60
2026-08-12T14:44:12.323202+00:00,1560.844,18612,0,0,20,1807.637,9645.004,9645.004,9645.004,16500.219,16218.988,9467.645,4241,10240,124,81,1515,48,995,60
2026-08-12T14:44:41.729491+00:00,1590.234,18612,0,0,20,1807.953,9645.492,9645.492,9645.492,16517.516,16201.691,9467.625,4241,10240,124,81,1515,48,995,60
2026-08-12T14:45:12.371988+00:00,1620.891,18612,0,0,20,1794.523,9629.031,9629.031,9629.031,16484.988,16234.219,9467.617,4241,10240,124,81,1515,48,995,60
2026-08-12T14:45:41.777327+00:00,1650.297,18612,0,0,20,1791.328,9624.34,9624.34,9624.34,16523.098,16196.109,9467.602,4241,10240,124,81,1515,48,995,60
2026-08-12T14:46:12.602391+00:00,1681.125,18612,0,0,21,1771.625,9532.488,9532.488,9532.488,16469.672,16249.535,9467.59,4241,10240,124,81,1515,48,995,60
2026-08-12T14:46:41.982264+00:00,1710.5,18612,0,0,21,1775.82,9538.613,9538.613,9538.613,16524.926,16194.281,9467.539,4241,10240,124,81,1515,48,995,60
2026-08-12T14:47:12.623274+00:00,1741.141,18612,0,0,21,1801.105,9377.066,9377.066,9377.066,16510.855,16208.352,9467.527,4241,10240,124,81,1517,48,995,60
2026-08-12T14:47:42.030088+00:00,1770.547,18612,0,0,21,1778.023,9352.871,9352.871,9352.871,16543.191,16176.016,9467.5,4241,10240,124,81,1517,48,995,60
2026-08-12T14:48:12.870609+00:00,1801.375,18612,0,0,22,1782.266,9359.684,9359.684,9359.684,16522.879,16196.328,9467.496,4241,10240,124,81,1515,48,995,60
2026-08-12T14:48:42.208097+00:00,1830.734,18612,0,0,22,1779.926,9356.18,9356.18,9356.18,16548.691,16170.516,9467.484,4241,10240,124,81,1515,48,995,60
2026-08-12T14:49:11.601992+00:00,1860.125,18612,0,0,22,1766.84,9390.402,9390.402,9390.402,16513.383,16205.824,9467.477,4241,10240,124,81,1519,48,995,60
2026-08-12T14:49:42.233013+00:00,1890.75,18612,0,0,22,1767.105,9390.344,9390.344,9390.344,16562.738,16156.469,9467.465,4241,10240,124,81,1515,48,995,60
2026-08-12T14:50:11.789972+00:00,1920.313,18612,0,0,23,1767.254,9389.594,9389.594,9389.594,16505.672,16213.535,9467.418,4241,10240,124,81,1519,48,995,60
2026-08-12T14:50:42.436956+00:00,1950.953,18612,0,0,23,1771.062,9394.73,9394.73,9394.73,16546.598,16172.609,9467.371,4241,10240,124,81,1515,48,995,60
2026-08-12T14:51:11.792880+00:00,1980.313,18612,0,0,23,1771.883,9395.73,9395.73,9395.73,16537.973,16181.234,9465.91,4241,10240,124,81,1515,48,995,60
2026-08-12T14:51:42.411488+00:00,2010.938,18612,0,0,23,1773.73,9395.98,9395.98,9395.98,16568.547,16150.66,9465.91,4241,10240,124,81,1517,48,995,60
2026-08-12T14:52:12.015297+00:00,2040.531,18612,0,0,24,1793.039,9445.754,9445.754,9445.754,16557.984,16161.223,9465.898,4241,10240,124,81,1515,48,995,60
2026-08-12T14:52:42.721181+00:00,2071.234,18612,0,0,24,1785.039,9428.469,9428.469,9428.469,16565.27,16153.938,9465.855,4241,10240,124,81,1530,51,995,60
2026-08-12T14:53:12.062685+00:00,2100.578,18612,0,0,24,1784.859,9428.469,9428.469,9428.469,16550.836,16168.371,9465.855,4241,10240,124,81,1533,52,995,60
2026-08-12T14:53:41.475471+00:00,2130.0,18612,0,0,24,1801.465,9364.102,9364.102,9364.102,16611.199,16108.008,9465.406,4241,10240,124,81,1529,52,995,60
2026-08-12T14:54:12.274615+00:00,2160.797,18612,0,0,25,1787.609,9352.273,9352.273,9352.273,16643.125,16076.082,9465.398,4241,10240,124,81,1529,52,995,60
2026-08-12T14:54:41.620082+00:00,2190.141,18612,0,0,25,1781.887,9346.215,9346.215,9346.215,16660.957,16058.25,9465.387,4241,10240,124,81,1530,52,995,60
2026-08-12T14:55:12.262091+00:00,2220.781,18612,0,0,25,1790.199,9395.289,9395.289,9395.289,16644.887,16074.32,9465.383,4241,10240,124,81,1530,52,995,60
2026-08-12T14:55:41.622008+00:00,2250.141,18612,0,0,25,1797.211,9404.293,9404.293,9404.293,16710.383,16008.824,9465.371,4241,10240,124,81,1532,52,995,60
2026-08-12T14:56:12.440573+00:00,2280.953,18612,0,0,26,1795.383,9401.668,9401.668,9401.668,16696.359,16022.848,9465.359,4241,10240,124,81,1528,52,995,60
2026-08-12T14:56:41.854852+00:00,2310.375,18612,0,0,26,1795.855,9402.168,9402.168,9402.168,16713.312,16005.895,9465.355,4241,10240,124,81,1530,52,995,60
2026-08-12T14:57:12.492378+00:00,2341.016,18612,0,0,26,1788.426,9346.172,9346.172,9346.172,16666.102,16053.105,9465.355,4241,10240,124,81,1534,52,995,60
2026-08-12T14:57:41.854839+00:00,2370.375,18612,0,0,26,1788.883,9347.109,9347.109,9347.109,16718.219,16000.988,9465.082,4241,10240,124,81,1528,52,995,60
